category,project,key,method,count_before,count_after,delta,validity_ok,smells_before,smells_after,diff_path
llm_only,19_jmca,jmca.JavaParser,test104,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/19_jmca/run_20260128_023712/patches/jmca/JavaParser/test104.diff
llm_only,49_diebierse,diebierse.DefaultInfoViewMouseListener,test3,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/49_diebierse/run_20260128_001935/patches/diebierse/DefaultInfoViewMouseListener/test3.diff
llm_only,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
llm_only,57_hft-bomberman,hft-bomberman.SessionDetailsMsg,test6,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Testing only field accesors,,output/by_project/57_hft-bomberman/run_20260128_022159/patches/hft-bomberman/SessionDetailsMsg/test6.diff
llm_only,79_twfbplayer,twfbplayer.BattleStatistics,test01,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,,output/by_project/79_twfbplayer/run_20260128_051140/patches/twfbplayer/BattleStatistics/test01.diff
llm_only,93_quickserver,quickserver.QuickServer,test099,5,1,-4,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Duplicated Setup,output/by_project/93_quickserver/run_20260128_105030/patches/quickserver/QuickServer/test099.diff
llm_only,96_heal,heal.UserReviewDAO,test3,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/96_heal/run_20260128_122524/patches/heal/UserReviewDAO/test3.diff
llm_only,2_a4j,a4j.BrowseNode,test00,3,0,-3,1,Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects,,output/by_project/2_a4j/run_20260127_050601/patches/a4j/BrowseNode/test00.diff
llm_only,5_templateit,templateit.StaticTemplate,test10,4,1,-3,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,Not asserted return values,output/by_project/5_templateit/run_20260127_081716/patches/templateit/StaticTemplate/test10.diff
llm_only,10_water-simulator,water-simulator.StepAttr,test1,3,0,-3,1,Asserting object initialization multiple times|Not asserted side effects|Testing only field accesors,,output/by_project/10_water-simulator/run_20260127_232138/patches/water-simulator/StepAttr/test1.diff
both,36_schemaspy,schemaspy.TableOrderer,test0,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,,output/by_project/36_schemaspy/run_20260127_121410/patches/schemaspy/TableOrderer/test0.diff
both,52_lagoon,lagoon.Node,test07,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/52_lagoon/run_20260127_193324/patches/lagoon/Node/test07.diff
both,57_hft-bomberman,hft-bomberman.BombExplodedMsg,test0,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,,output/by_project/57_hft-bomberman/run_20260128_022159/patches/hft-bomberman/BombExplodedMsg/test0.diff
both,70_echodep,echodep.HaSZipUtils,test5,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/70_echodep/run_20260128_030516/patches/echodep/HaSZipUtils/test5.diff
both,75_openhre,openhre.ExpressionImpl,test01,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/75_openhre/run_20260128_050625/patches/openhre/ExpressionImpl/test01.diff
both,85_shop,shop.JSJshopNode,test3,5,1,-4,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Not asserted return values,output/by_project/85_shop/run_20260128_063749/patches/shop/JSJshopNode/test3.diff
both,86_at-robots2-j,at-robots2-j.MissileRenderer,test0,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Not asserted return values|Testing the same exception scenario,,output/by_project/86_at-robots2-j/run_20260128_154529/patches/at-robots2-j/MissileRenderer/test0.diff
both,89_jiggler,jiggler.GrayImage,test38,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Not null assertion,,output/by_project/89_jiggler/run_20260128_093350/patches/jiggler/GrayImage/test38.diff
both,92_jcvi-javacommon,jcvi-javacommon.AceFileUtil,test02,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,,output/by_project/92_jcvi-javacommon/run_20260128_114600/patches/jcvi-javacommon/AceFileUtil/test02.diff
both,93_quickserver,quickserver.OptimisticClientIdentifier,test0,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/93_quickserver/run_20260128_105030/patches/quickserver/OptimisticClientIdentifier/test0.diff
